117.220.196.186 - - [01/Oct/2015:06:32:19 -0700] "GET /wordpress/wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.saveaslave.com"
117.220.196.186 - - [01/Oct/2015:06:32:21 -0700] "GET /cms/wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.saveaslave.com"
117.220.196.186 - - [01/Oct/2015:06:32:23 -0700] "GET /admin/wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.saveaslave.com"
66.249.88.126 - - [01/Oct/2015:06:40:36 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Google favicon" "saveaslave.com"
23.23.242.178 - - [01/Oct/2015:06:41:00 -0700] "GET /niger.html HTTP/1.1" 200 5665 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8" "www.saveaslave.com"
202.131.116.106 - - [01/Oct/2015:06:43:56 -0700] "GET / HTTP/1.1" 200 1309 "http://success-seo.com/try.php?u=http://saveaslave.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "saveaslave.com"
65.36.241.48 - - [01/Oct/2015:07:01:19 -0700] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.saveaslave.com"
180.76.15.137 - - [01/Oct/2015:07:03:12 -0700] "GET /countries/australia.html HTTP/1.1" 200 5658 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.saveaslave.com"
61.135.189.175 - - [01/Oct/2015:07:03:58 -0700] "GET /site/?cat=187 HTTP/1.1" 404 89 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" "saveaslave.com"
61.135.189.175 - - [01/Oct/2015:07:08:00 -0700] "GET /site/?cat=248 HTTP/1.1" 404 89 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" "saveaslave.com"
217.69.133.29 - - [01/Oct/2015:07:11:34 -0700] "GET /latvia.html HTTP/1.1" 200 5674 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "www.saveaslave.com"
217.69.133.31 - - [01/Oct/2015:07:11:36 -0700] "GET /norway.html HTTP/1.1" 200 5674 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "www.saveaslave.com"
